Month,Avg Players,Peak Players
Last 30 Days,12655.21,48499
June 2024,8135.78,20046
May 2024,5123.80,14956
April 2024,8735.20,18923
March 2024,7438.40,18819
February 2024,8006.92,23461
January 2024,6079.09,11934
December 2023,7966.36,13308
November 2023,5798.87,11550
October 2023,10483.32,22361
September 2023,16344.28,34085
August 2023,6426.11,20998
July 2023,6853.47,12234
June 2023,8731.46,16427
May 2023,6590.87,12944
April 2023,11717.96,23336
March 2023,7395.69,14172
February 2023,5489.98,14945
January 2023,6397.22,11366
December 2022,7522.03,12475
November 2022,6788.54,12319
October 2022,9618.70,20349
September 2022,7935.42,16623
August 2022,15064.78,32413
July 2022,15481.90,40753
June 2022,13275.35,27054
May 2022,13699.16,28487
April 2022,13651.52,31870
March 2022,6018.31,11008
February 2022,6994.08,14304
January 2022,6020.54,10741
December 2021,7068.33,12716
November 2021,6350.45,13102
October 2021,8582.60,17754
September 2021,17826.82,38538
August 2021,5106.39,8310
July 2021,6608.76,11719
June 2021,9036.87,19792
May 2021,6909.46,13361
April 2021,9470.57,20871
March 2021,5834.69,9928
February 2021,7005.63,15126
January 2021,6639.96,12707
December 2020,6691.06,11954
November 2020,8488.00,16326
October 2020,12431.63,30502
September 2020,8526.01,34739
August 2020,6906.51,14929
July 2020,9572.20,21844
June 2020,6562.30,11736
May 2020,6654.77,12089
April 2020,11263.19,25414
March 2020,5919.73,13493
February 2020,6700.82,17980
January 2020,5270.44,10613
December 2019,5303.24,11029
November 2019,2824.54,9918
October 2019,3877.12,8568
September 2019,9019.40,27831
August 2019,20605.32,61535
July 2019,3789.93,6914
June 2019,2675.05,6055
May 2019,2986.30,7478
April 2019,2607.54,4971
March 2019,2051.77,5892
February 2019,2268.59,4573
January 2019,3302.08,7621
December 2018,4730.73,9118
November 2018,3833.24,8569
October 2018,3078.88,6291
September 2018,5911.01,15099
August 2018,28083.00,83156
July 2018,14554.19,96954
June 2018,1035.41,2047
May 2018,782.81,1942
April 2018,631.43,1203
March 2018,557.85,1047
February 2018,708.16,1406
January 2018,930.32,1938
December 2017,905.30,1874
November 2017,933.20,1915
October 2017,1035.08,2277
September 2017,2146.10,5733
August 2017,4895.45,19017
July 2017,827.48,1694
June 2017,651.19,1781
May 2017,562.13,1052
April 2017,847.28,1869
March 2017,1805.89,7023
February 2017,508.00,1097
January 2017,869.60,2220
December 2016,2145.01,6498
November 2016,900.28,8090
October 2016,774.14,2172
September 2016,2982.79,9254
August 2016,36976.41,212321
